Latitude,Longitude,State,Number of Records,Date Checked,Death Increase,Death,Fips,Hospitalized Cumulative,Hospitalized Currently,Hospitalized Increase,Hospitalized,In Icu Cumulative,In Icu Currently,Negative Increase,Negative,On Ventilator Cumulative,On Ventilator Currently,Pending,Pos Neg,Positive Increase,Positive,Recovered,State Postal Code,Total Test Results Increase,Total Test Results,Total
66.160507,-153.369141,Alaska,1,4/8/2020 8:00:00 PM,1,7,2,27,,4,27,,,142,6842,,,,7068,13,226,32,AK,155,7068,7068
32.31823,-86.902298,Alabama,1,4/8/2020 8:00:00 PM,10,66,1,314,,43,314,,,3956,16753,,,,19122,250,2369,,AL,4206,19122,19122
34.799999,-92.199997,Arkansas,1,4/8/2020 8:00:00 PM,2,18,5,130,76,-18,130,43,,838,13530,39,30,,14530,54,1000,208,AR,892,14530,14530
-14.306407,-170.6950175,American Samoa,1,4/8/2020 8:00:00 PM,0,0,60,,,0,,,,0,20,,,11,20,0,0,,AS,0,20,31
34.048927,-111.093735,Arizona,1,4/8/2020 8:00:00 PM,7,80,4,,,0,,,,1038,31838,,,,34564,151,2726,,AZ,1189,34564,34564
36.778259,-119.417931,California,1,4/8/2020 8:00:00 PM,68,442,6,,2714,0,,,1154,11943,127307,,,14600,144264,1092,16957,,CA,13035,144264,158864
39.113014,-105.358887,Colorado,1,4/8/2020 8:00:00 PM,29,179,8,1079,,85,1079,,,962,22665,,,,28094,257,5429,,CO,1219,28094,28094
41.599998,-72.699997,Connecticut,1,4/8/2020 8:00:00 PM,0,277,9,,1308,0,,,,0,21255,,,,29036,0,7781,,CT,0,29036,29036
38.900497,-77.007507,Dist. of Columbia,1,4/8/2020 8:00:00 PM,5,27,11,,,0,,,,231,6843,,,,8283,229,1440,361,DC,460,8283,8283
39,-75.5,Delaware,1,4/8/2020 8:00:00 PM,0,16,10,,147,0,,,,0,7628,,,,8556,0,928,144,DE,0,8556,8556
27.994402,-81.760254,Florida,1,4/8/2020 8:00:00 PM,13,309,12,2062,,63,2062,,,4264,127679,,,1324,143134,708,15455,,FL,4972,143134,144458
33.247875,-83.441162,Georgia,1,4/8/2020 8:00:00 PM,33,362,13,1993,,219,1993,,,3991,28886,,,,38787,1083,9901,,GA,5074,38787,38787
13.444304,144.793732,Guam,1,4/8/2020 8:00:00 PM,0,4,66,,21,0,,,2,33,562,,2,,687,4,125,31,GU,37,687,687
19.741755,-155.844437,Hawaii,1,4/8/2020 8:00:00 PM,0,5,15,42,,16,42,6,,1584,14739,,,,15149,23,410,113,HI,1607,15149,15149
42.032974,-93.581543,Iowa,1,4/8/2020 8:00:00 PM,1,27,19,193,122,0,193,,,1151,12821,,,,13966,97,1145,431,IA,1248,13966,13966
44.068203,-114.742043,Idaho,1,4/8/2020 8:00:00 PM,2,15,16,93,,10,93,24,,612,10688,,,,11898,40,1210,,ID,652,11898,11898
40,-89,Illinois,1,4/8/2020 8:00:00 PM,82,462,17,,3680,0,,,1166,4805,59988,,821,,75066,1529,15078,,IL,6334,75066,75066
40.273502,-86.126976,Indiana,1,4/8/2020 8:00:00 PM,30,203,18,,,0,,,924,1669,24926,,507,,30869,436,5943,,IN,2105,30869,30869
38.5,-98,Kansas,1,4/8/2020 8:00:00 PM,0,27,20,223,,0,223,,,0,8614,,,,9514,0,900,,KS,0,9514,9514
37.839333,-84.27002,Kentucky,1,4/8/2020 8:00:00 PM,6,65,21,,,0,,,,1508,20455,,,,21604,141,1149,,KY,1649,21604,21604
30.39183,-92.329102,Louisiana,1,4/8/2020 8:00:00 PM,70,652,22,,1983,0,,,,6005,64376,,490,,81406,746,17030,,LA,6751,81406,81406
42.407211,-71.382439,Massachusetts,1,4/8/2020 8:00:00 PM,77,433,25,1583,,148,1583,,,4579,70721,,,,87511,1588,16790,,MA,6167,87511,87511
39.045753,-76.641273,Maryland,1,4/8/2020 8:00:00 PM,21,124,24,1210,,104,1210,,,5677,32933,,,,38462,1158,5529,365,MD,6835,38462,38462
45.367584,-68.972168,Maine,1,4/8/2020 8:00:00 PM,2,14,23,101,,2,101,,,0,6088,,,,6625,18,537,187,ME,18,6625,6625
44.182205,-84.506836,Michigan,1,4/8/2020 8:00:00 PM,114,959,26,,,0,,,,0,31362,,,,51708,1376,20346,,MI,1376,51708,51708
46.39241,-109.533691,Minnesota,1,4/8/2020 8:00:00 PM,5,39,27,271,135,29,271,105,64,1408,29599,,,,30753,85,1154,632,MN,1493,30753,30753
38.573936,-92.60376,Missouri,1,4/8/2020 8:00:00 PM,5,58,29,,519,0,,,,1851,30783,,,,34110,290,3327,,MO,2141,34110,34110
15.106389,145.706524,Northern Marianas,1,4/8/2020 8:00:00 PM,0,2,69,,,0,,,,12,27,,,9,38,3,11,,MP,15,38,47
33,-90,Mississippi,1,4/8/2020 8:00:00 PM,8,67,28,410,,33,410,,,0,18632,,,,20635,88,2003,,MS,88,20635,20635
46.96526,-109.533691,Montana,1,4/8/2020 8:00:00 PM,0,6,30,31,,3,31,,,400,7066,,,,7398,13,332,135,MT,413,7398,7398
35.782169,-80.793457,North Carolina,1,4/8/2020 8:00:00 PM,7,53,37,,386,0,,,,1700,39561,,,,42987,205,3426,,NC,1905,42987,42987
47.650589,-100.437012,North Dakota,1,4/8/2020 8:00:00 PM,0,4,38,34,16,1,34,,,835,8301,,,,8552,14,251,98,ND,849,8552,8552
41.5,-100,Nebraska,1,4/8/2020 8:00:00 PM,2,12,31,,,0,,,,631,7442,,,,7961,72,519,,NE,703,7961,7961
44,-71.5,New Hampshire,1,4/8/2020 8:00:00 PM,9,18,33,118,,15,118,,,370,8389,,,89,9177,73,788,211,NH,443,9177,9266
39.833851,-74.871826,New Jersey,1,4/8/2020 8:00:00 PM,272,1504,34,,7026,0,,,1617,2421,52979,,1576,,100416,3021,47437,,NJ,5442,100416,100416
34.307144,-106.018066,New Mexico,1,4/8/2020 8:00:00 PM,1,13,35,,51,0,,,,312,21451,,18,,22245,108,794,171,NM,420,22245,22245
39.876019,-117.224121,Nevada,1,4/8/2020 8:00:00 PM,13,71,32,,282,0,,,,1696,18248,,,,20566,231,2318,,NV,1927,20566,20566
43,-75,New York,1,4/8/2020 8:00:00 PM,779,6268,36,32669,18079,586,32669,,4593,14642,215837,,,,365153,10453,149316,14590,NY,25095,365153,365153
40.367474,-82.996216,Ohio,1,4/8/2020 8:00:00 PM,26,193,39,1495,,141,1495,472,,2137,48193,,,,53341,366,5148,,OH,2503,53341,53341
36.084621,-96.921387,Oklahoma,1,4/8/2020 8:00:00 PM,12,79,40,390,186,14,390,,137,0,11821,,,,13345,52,1524,612,OK,52,13345,13345
44,-120.5,Oregon,1,4/8/2020 8:00:00 PM,4,33,41,329,,-75,329,,,1157,21826,69,,,23007,49,1181,,OR,1206,23007,23007
41.203323,-77.194527,Pennsylvania,1,4/8/2020 8:00:00 PM,69,309,42,,1898,0,,,,5580,82299,,603,,98538,1680,16239,,PA,7260,98538,98538
18.200178,-66.664513,Puerto Rico,1,4/8/2020 8:00:00 PM,1,24,72,,,0,,,,300,4266,,,1160,4886,47,620,,PR,347,4886,6046
41.700001,-71.5,Rhode Island,1,4/8/2020 8:00:00 PM,5,35,44,,143,0,,,45,3283,10682,,26,,12132,221,1450,35,RI,3504,12132,12132
33.836082,-81.163727,South Carolina,1,4/8/2020 8:00:00 PM,12,63,45,241,,0,241,,,819,22082,,,,24634,135,2552,,SC,954,24634,24634
44.5,-100,South Dakota,1,4/8/2020 8:00:00 PM,0,6,46,26,,3,26,,,407,6355,,,0,6748,73,393,146,SD,480,6748,6748
35.860119,-86.660156,Tennessee,1,4/8/2020 8:00:00 PM,7,79,47,449,,41,449,,,3520,52256,,,,56618,224,4362,592,TN,3744,56618,56618
31,-100,Texas,1,4/8/2020 8:00:00 PM,23,177,48,,1491,0,,,,6518,86905,,,,96258,1091,9353,38,TX,7609,96258,96258
39.41922,-111.950684,Utah,1,4/8/2020 8:00:00 PM,0,13,49,158,,10,158,,,1361,34270,,,,36116,108,1846,,UT,1469,36116,36116
37.926868,-78.024902,Virginia,1,4/8/2020 8:00:00 PM,12,75,51,615,,52,615,145,,1688,27000,108,,,30645,312,3645,,VA,2000,30645,30645
18.343441,-64.8671634,Virgin Islands,1,4/8/2020 8:00:00 PM,0,1,78,,,0,,,,20,242,,,35,287,2,45,39,VI,22,287,322
44,-72.699997,Vermont,1,4/8/2020 8:00:00 PM,0,23,50,50,35,5,50,,,590,7144,,,,7749,30,605,15,VT,620,7749,7749
47.751076,-120.740135,Washington,1,4/8/2020 8:00:00 PM,22,394,53,,,0,,,,0,83391,,,,92073,298,8682,,WA,298,92073,92073
44.5,-89.5,Wisconsin,1,4/8/2020 8:00:00 PM,7,99,55,790,,45,790,218,,1603,30115,,,,32871,178,2756,,WI,1781,32871,32871
39,-80.5,West Virginia,1,4/8/2020 8:00:00 PM,0,4,54,,,0,,,,436,12083,,,,12545,50,462,,WV,486,12545,12545
